,note,string,finger,position,start,end,start_relative_time,end_relative_time,bow_start,bow_end,contact_bow,vibrato
97,B-3,1,2,0,12.125,12.25,11640,120,11,7,1,0
98,E-4,2,1,0,12.25,12.375,11760,120,7,10,1,0
99,G4,2,3,0,12.375,12.5,11880,120,10,6,1,0
100,E-4,2,1,0,12.5,12.625,12000,120,6,9,1,0
101,G4,2,3,0,12.625,12.75,12120,120,9,6,1,0
102,C5,3,2,0,12.75,12.875,12240,120,6,9,1,0
103,G4,2,3,0,12.875,13,12360,120,9,5,1,0
104,C5,3,2,0,13,13.125,12480,120,5,8,1,0
105,E-5,3,4,0,13.125,13.25,12600,120,8,5,1,0
106,C5,3,2,0,13.25,13.375,12720,120,5,8,1,0
107,E-5,3,4,0,13.375,13.5,12840,120,8,4,1,0
108,F4,2,2,0,13.5,13.625,12960,120,4,7,1,0
109,C4,1,3,0,13.625,13.75,13080,120,7,4,1,0
110,F4,2,2,0,13.75,13.875,13200,120,4,8,1,0
111,A4,2,4,0,13.875,14,13320,120,8,4,1,0
112,F4,2,2,0,14,14.125,13440,120,4,7,1,0
113,A4,3,0,0,14.125,14.25,13560,120,7,4,1,0
114,D5,3,3,0,14.25,14.375,13680,120,4,8,1,0
115,A4,3,0,0,14.375,14.5,13800,120,8,5,1,0
116,D5,3,1,2,14.5,14.625,13920,120,5,9,1,0
117,F5,3,3,2,14.625,14.75,14040,120,9,5,1,0
118,D5,3,1,2,14.75,14.875,14160,120,5,9,1,0
119,F5,3,3,2,14.875,15,14280,120,9,5,1,0
120,G4,2,1,2,15,15.125,14400,120,5,9,1,0
121,D4,2,0,0,15.125,15.25,14520,120,9,5,1,0
122,G4,2,1,2,15.25,15.375,14640,120,5,8,1,0
123,B-4,2,3,2,15.375,15.5,14760,120,8,4,1,0
124,G4,2,1,2,15.5,15.625,14880,120,4,7,1,0
125,B-4,2,3,2,15.625,15.75,15000,120,7,4,1,0
126,E-5,3,2,2,15.75,15.875,15120,120,4,8,1,0
127,B-4,2,3,2,15.875,16,15240,120,8,5,1,0
128,E-5,3,2,2,16,16.125,15360,120,5,9,1,0
129,G5,3,4,2,16.125,16.25,15480,120,9,6,1,0
130,E-5,3,2,2,16.25,16.375,15600,120,6,10,1,0
131,G5,3,4,2,16.375,16.5,15720,120,10,6,1,0
132,A4,3,0,0,16.5,16.625,15840,120,6,9,1,0
133,F4,2,2,0,16.625,16.75,15960,120,9,5,1,0
134,A4,3,0,0,16.75,16.875,16080,120,5,9,1,0
135,C5,3,2,0,16.875,17,16200,120,9,5,1,0
136,A4,3,0,0,17,17.125,16320,120,5,9,1,0
137,C5,3,2,0,17.125,17.25,16440,120,9,6,1,0
138,F5,4,1,0,17.25,17.375,16560,120,6,9,1,0
139,C5,3,2,0,17.375,17.5,16680,120,9,5,1,0
140,F5,4,1,0,17.5,17.625,16800,120,5,8,1,0
141,A5,4,3,0,17.625,17.75,16920,120,8,5,1,0
142,F5,4,1,0,17.75,17.875,17040,120,5,8,1,0
143,A5,4,3,0,17.875,18,17160,120,8,4,1,0
144,B-4,3,1,0,18,18.125,17280,120,4,-1,1,0
145,C5,3,2,0,18.125,18.25,17400,120,-1,-1,-1,0
146,D5,3,3,0,18.25,18.375,17520,120,-1,11,-1,0
147,B-5,4,4,0,18.375,18.5,17640,120,11,6,1,0
148,A5,4,3,0,18.5,18.625,17760,120,6,10,1,0
149,B-5,4,4,0,18.625,18.75,17880,120,10,5,1,0
150,C5,3,1,1,18.75,18.875,18000,120,5,-1,1,0
151,D5,3,2,1,18.875,19,18120,120,-1,-1,-1,0
152,E-5,3,3,1,19,19.125,18240,120,-1,12,-1,0
153,B-5,4,3,1,19.125,19.25,18360,120,12,8,1,0
154,A5,4,2,1,19.25,19.375,18480,120,8,10,1,0
155,B-5,4,3,1,19.375,19.5,18600,120,10,5,1,0
156,D5,3,1,2,19.5,19.625,18720,120,5,-1,1,0
157,E-5,3,2,2,19.625,19.75,18840,120,-1,-1,-1,0
158,F5,3,3,2,19.75,19.875,18960,120,-1,11,-1,0
159,B-5,4,2,2,19.875,20,19080,120,11,6,1,0
160,A5,4,1,2,20,20.125,19200,120,6,9,1,0
161,B-5,4,2,2,20.125,20.25,19320,120,9,4,1,0
162,E-5,3,2,2,20.25,20.375,19440,120,4,-1,1,0
163,F5,3,3,2,20.375,20.5,19560,120,-1,-1,-1,0
164,G5,3,4,2,20.5,20.625,19680,120,-1,11,-1,0
165,B-5,4,2,2,20.625,20.75,19800,120,11,6,1,0
166,A5,4,1,2,20.75,20.875,19920,120,6,9,1,0
167,B-5,4,2,2,20.875,21,20040,120,9,4,1,0
168,A4,3,0,0,21,21.125,20160,120,4,-1,1,0
169,C5,3,2,0,21.125,21.25,20280,120,-1,-1,-1,0
170,E-5,3,4,0,21.25,21.375,20400,120,-1,10,-1,0
171,G5,4,2,0,21.375,21.5,20520,120,10,5,1,0
172,F5,4,1,0,21.5,21.625,20640,120,5,8,1,0
173,E-5,4,0,0,21.625,21.75,20760,120,8,4,1,0
174,D5,3,3,0,21.75,21.875,20880,120,4,-1,1,0
175,B-4,3,1,0,21.875,22,21000,120,-1,9,-1,0
176,E-5,3,4,0,22,22.125,21120,120,9,-1,1,0
177,B-4,3,1,0,22.125,22.25,21240,120,-1,4,-1,0
178,F5,3,3,2,22.25,22.375,21360,120,4,8,1,0
179,A-4,2,2,2,22.375,22.5,21480,120,8,5,1,0
180,G4,2,1,2,22.5,22.625,21600,120,5,-1,1,0
181,A4,2,2,2,22.625,22.75,21720,120,-1,-1,-1,0
182,B-4,2,3,2,22.75,22.875,21840,120,-1,11,-1,0
183,D4,2,0,0,22.875,23,21960,120,11,7,1,0
184,C4,1,3,0,23,23.125,22080,120,7,9,1,0
185,A4,2,4,0,23.125,23.25,22200,120,9,7,1,0
186,B-3,1,2,0,23.25,23.375,22320,120,7,4,-1,0
187,D4,1,4,0,23.375,23.5,22440,120,4,-1,1,0
188,C4,1,3,0,23.5,23.625,22560,120,-1,-1,-1,0
189,B-3,1,2,0,23.625,23.75,22680,120,-1,-1,-1,0
190,A3,1,1,0,23.75,23.875,22800,120,-1,-1,-1,0
191,G3,1,0,0,23.875,24,22920,120,-1,12,-1,0
192,A3,1,1,0,24,24.125,23040,120,12,5,1,0
193,G4,2,3,0,24.125,24.25,23160,120,5,-1,1,0
194,F#4,2,2,0,24.25,24.375,23280,120,-1,-1,-1,0
195,E4,2,1,0,24.375,24.5,23400,120,-1,-1,-1,0
196,D4,2,0,0,24.5,24.625,23520,120,-1,11,-1,0
197,C5,2,4,2,24.625,24.75,23640,120,11,-1,1,0
198,B-4,2,3,2,24.75,24.875,23760,120,-1,-1,-1,0
199,A4,2,2,2,24.875,25,23880,120,-1,-1,-1,0
200,G4,2,1,2,25,25.125,24000,120,-1,4,-1,0
201,F5,3,3,2,25.125,25.25,24120,120,4,-1,1,0
202,E5,3,2,2,25.25,25.375,24240,120,-1,-1,-1,0
203,D5,3,1,2,25.375,25.5,24360,120,-1,-1,-1,0
204,C#5,3,2,0,25.5,25.625,24480,120,-1,12,-1,0
205,B-5,4,4,0,25.625,25.75,24600,120,12,-1,1,0
206,A5,4,3,0,25.75,25.875,24720,120,-1,-1,-1,0
207,G5,4,2,0,25.875,26,24840,120,-1,-1,-1,0
208,F5,4,1,0,26,26.125,24960,120,-1,-1,-1,0
209,E5,4,0,0,26.125,26.25,25080,120,-1,3,-1,0
210,F5,4,1,0,26.25,26.375,25200,120,3,-1,1,0
211,D5,3,3,0,26.375,26.5,25320,120,-1,9,-1,0
212,G5,4,2,0,26.5,26.625,25440,120,9,-1,1,0
213,D5,3,3,0,26.625,26.75,25560,120,-1,4,-1,0
214,A5,4,3,0,26.75,26.875,25680,120,4,8,1,0
215,C5,3,2,0,26.875,27,25800,120,8,5,1,0
216,B-4,3,1,0,27,27.125,25920,120,5,12,1,0
217,A5,4,3,0,27.125,27.25,26040,120,11,-1,1,0
218,G5,4,2,0,27.25,27.375,26160,120,-1,-1,-1,0
219,F5,4,1,0,27.375,27.5,26280,120,-1,-1,-1,0
220,E5,4,0,0,27.5,27.625,26400,120,-1,-1,-1,0
221,D5,3,3,0,27.625,27.75,26520,120,-1,4,-1,0
222,E5,3,4,0,27.75,27.875,26640,120,4,-1,1,0
223,C5,3,2,0,27.875,28,26760,120,-1,9,-1,0
224,F5,4,1,0,28,28.125,26880,120,9,-1,1,0
225,C5,3,2,0,28.125,28.25,27000,120,-1,4,-1,0
226,G5,4,2,0,28.25,28.375,27120,120,4,8,1,0
227,B-4,3,1,0,28.375,28.5,27240,120,8,5,1,0
228,A4,3,0,0,28.5,28.625,27360,120,5,11,1,0
229,G5,4,2,0,28.625,28.75,27480,120,11,-1,1,0
230,F5,4,1,0,28.75,28.875,27600,120,-1,-1,-1,0
231,E5,4,0,0,28.875,29,27720,120,-1,-1,-1,0
232,D5,3,3,0,29,29.125,27840,120,-1,-1,-1,0
233,C#5,3,2,0,29.125,29.25,27960,120,-1,4,-1,0
234,D5,3,3,0,29.25,29.375,28080,120,4,-1,1,0
235,B-4,3,1,0,29.375,29.5,28200,120,-1,10,-1,0
236,E5,3,4,0,29.5,29.625,28320,120,10,-1,1,0
237,B-4,3,1,0,29.625,29.75,28440,120,-1,5,-1,0
