,note,start_time,duration,velocity,tempo
188,C#5,50.75,0.25,100,250
189,F#5,51,0.75,100,250
190,F#5,51.75,0.25,100,250
191,B4,52,0.25,100,250
192,D5,52.25,0.25,100,250
193,F#5,52.5,0.25,100,250
194,B5,52.75,0.25,100,250
195,G5,53,0.25,100,250
196,E5,53.25,0.25,100,250
197,C#5,53.5,0.25,100,250
198,E5,53.75,0.25,100,250
199,B-4,54,0.25,100,250
200,G5,54.25,0.25,100,250
201,F#5,54.5,0.25,100,250
202,E5,54.75,0.25,100,250
203,D5,55,0.25,100,250
204,B4,55.25,0.25,100,250
205,F#4,55.5,0.25,100,250
206,A4,55.75,0.25,100,250
207,G4,56,0.25,100,250
208,F#5,56.25,0.25,100,250
209,E5,56.5,0.25,100,250
210,D5,56.75,0.25,100,250
211,C#5,57,0.25,100,250
212,E5,57.25,0.25,100,250
213,G5,57.5,0.25,100,250
214,B4,57.75,0.25,100,250
215,B-4,58,0.25,100,250
216,C#5,58.25,0.25,100,250
217,F#4,58.5,0.25,100,250
218,E4,58.75,0.25,100,250
219,D4,59,0.25,100,250
220,B4,59.25,0.25,100,250
221,C#4,59.5,0.25,100,250
222,C#5,59.75,0.25,100,250
223,D5,60,0.25,100,250
224,F#4,60.25,0.25,100,250
225,B3,60.5,0.25,100,250
226,C#4,60.75,0.25,100,250
227,D4,61,0.25,100,250
228,E4,61.25,0.25,100,250
229,F#4,61.5,0.25,100,250
230,G4,61.75,0.25,100,250
231,A4,62,0.25,100,250
232,D4,62.25,0.25,100,250
233,F#4,62.5,0.25,100,250
234,A4,62.75,0.25,100,250
235,D5,63,0.25,100,250
236,E5,63.25,0.25,100,250
237,F#5,63.5,0.25,100,250
238,A4,63.75,0.25,100,250
239,B4,64,0.25,100,250
240,G4,64.25,0.25,100,250
241,B4,64.5,0.25,100,250
242,D5,64.75,0.25,100,250
243,G5,65,0.25,100,250
244,B4,65.25,0.25,100,250
245,G4,65.5,0.25,100,250
246,E4,65.75,0.25,100,250
247,C#4,66,0.25,100,250
248,E4,66.25,0.25,100,250
249,A4,66.5,0.25,100,250
250,G5,66.75,0.25,100,250
251,F#5,67,0.25,100,250
252,D4,67.25,0.25,100,250
253,G4,67.5,0.25,100,250
254,E5,67.75,0.25,100,250
255,C#5,68,0.25,100,250
256,A4,68.25,0.25,100,250
257,C#5,68.5,0.25,100,250
258,E5,68.75,0.25,100,250
259,A5,69,0.25,100,250
260,C5,69.25,0.25,100,250
261,A4,69.5,0.25,100,250
262,F#4,69.75,0.25,100,250
263,E-4,70,0.25,100,250
264,F#4,70.25,0.25,100,250
265,B4,70.5,0.25,100,250
266,F#5,70.75,0.25,100,250
267,A5,71,0.25,100,250
268,C6,71.25,0.25,100,250
269,B5,71.5,0.25,100,250
270,A5,71.75,0.25,100,250
271,G5,72,0.25,100,250
272,B5,72.25,0.25,100,250
273,G5,72.5,0.25,100,250
274,E5,72.75,0.25,100,250
275,B4,73,0.25,100,250
276,D5,73.25,0.25,100,250
277,C#5,73.5,0.25,100,250
278,B4,73.75,0.25,100,250
279,B-4,74,0.25,100,250
280,G5,74.25,0.25,100,250
281,F#5,74.5,0.25,100,250
282,E4,74.75,0.25,100,250
283,D4,75,0.25,100,250
284,F#4,75.25,0.25,100,250
285,B4,75.5,0.25,100,250
286,D5,75.75,0.25,100,250
287,G#4,76,0.25,100,250
288,F#5,76.25,0.25,100,250
289,E5,76.5,0.25,100,250
290,D4,76.75,0.25,100,250
291,C#4,77,0.25,100,250
292,E4,77.25,0.25,100,250
293,G4,77.5,0.25,100,250
294,B3,77.75,0.25,100,250
295,B-3,78,0.25,100,250
296,F#4,78.25,0.25,100,250
297,C#5,78.5,0.25,100,250
298,E5,78.75,0.25,100,250
299,D5,79,0.25,100,250
300,F#4,79.25,0.25,100,250
301,B3,79.5,0.25,100,250
302,D5,79.75,0.25,100,250
303,C#5,80,0.25,100,250
304,F#5,80.25,0.25,100,250
305,C#5,80.5,0.25,100,250
306,B-4,80.75,0.25,100,250
307,F#4,81,0.25,100,250
308,B-4,81.25,0.25,100,250
309,C#5,81.5,0.25,100,250
310,E4,81.75,0.25,100,250
311,D4,82,0.25,100,250
312,F#5,82.25,0.25,100,250
313,D5,82.5,0.25,100,250
314,B4,82.75,0.25,100,250
315,G#4,83,0.25,100,250
316,B4,83.25,0.25,100,250
317,E5,83.5,0.25,100,250
318,B-4,83.75,0.25,100,250
319,B4,84,0.25,100,250
320,E5,84.25,0.25,100,250
321,F#5,84.5,0.25,100,250
322,C#5,84.75,0.25,100,250
323,D5,85,0.25,100,250
324,B4,85.25,0.25,100,250
325,G#5,85.5,0.25,100,250
326,B4,85.75,0.25,100,250
327,F4,86,0.25,100,250
328,C#5,86.25,0.25,100,250
329,B5,86.5,0.25,100,250
330,G#5,86.75,0.25,100,250
331,A5,87,0.25,100,250
332,C#5,87.25,0.25,100,250
333,F#4,87.5,0.25,100,250
334,A5,87.75,0.25,100,250
335,G#5,88,0.25,100,250
336,C#5,88.25,0.25,100,250
337,F5,88.5,0.25,100,250
338,G#5,88.75,0.25,100,250
339,C#6,89,0.25,100,250
340,E5,89.25,0.25,100,250
341,B-4,89.5,0.25,100,250
342,E5,89.75,0.25,100,250
343,B3,90,0.25,100,250
344,F#4,90.25,0.25,100,250
345,E5,90.5,0.25,100,250
346,C#5,90.75,0.25,100,250
347,D5,91,0.25,100,250
348,F#5,91.25,0.25,100,250
349,B5,91.5,0.25,100,250
350,C#6,91.75,0.25,100,250
351,D6,92,0.25,100,250
352,F5,92.25,0.25,100,250
353,G#4,92.5,0.25,100,250
354,F5,92.75,0.25,100,250
355,C#4,93,0.25,100,250
356,D6,93.25,0.25,100,250
357,F5,93.5,0.25,100,250
358,C#6,93.75,0.25,100,250
359,B5,94,0.25,100,250
360,A5,94.25,0.25,100,250
361,G#5,94.5,0.25,100,250
362,F#5,94.75,0.25,100,250
363,C#5,95,0.25,100,250
364,F#5,95.25,0.25,100,250
365,G#5,95.5,0.25,100,250
366,F5,95.75,0.25,100,250
367,F#5,96,0.25,100,250
368,C#5,96.25,0.25,100,250
369,B-4,96.5,0.25,100,250
370,E5,96.75,0.25,100,250
371,D5,97,0.25,100,250
372,F4,97.25,0.25,100,250
373,G#4,97.5,0.25,100,250
374,B4,97.75,0.25,100,250
375,B-4,98,0.25,100,250
376,F#4,98.25,0.25,100,250
377,B-4,98.5,0.25,100,250
378,C#5,98.75,0.25,100,250
379,F#5,99,0.75,100,250
380,C#5,99.75,0.25,100,250
