,note,start_absolute_time,duration,velocity,tempo
169,B5,46,0.25,100,250
170,A5,46.25,0.25,100,250
171,G#5,46.5,0.25,100,250
172,F#5,46.75,0.25,100,250
173,C#5,47,0.25,100,250
174,F#5,47.25,0.25,100,250
175,G#5,47.5,0.25,100,250
176,F5,47.75,0.25,100,250
177,F#5,48,0.25,100,250
178,C#5,48.25,0.25,100,250
179,B-4,48.5,0.25,100,250
180,E5,48.75,0.25,100,250
181,D5,49,0.25,100,250
182,F4,49.25,0.25,100,250
183,G#4,49.5,0.25,100,250
184,B4,49.75,0.25,100,250
185,B-4,50,0.25,100,250
186,F#4,50.25,0.25,100,250
187,B-4,50.5,0.25,100,250
188,C#5,50.75,0.25,100,250
189,F#5,51,0.75,100,250
