num,note,start,end,pitch
55,F5,6.478367346938776,6.65432978825333,"[690.5170668468606, 697.8944803181773, 699.0936658273118, 698.7882045238861, 697.0953270928364, 695.7248956040428, 695.126638972012, 694.9314088874089, 695.5670858404803, 695.60439676749, 694.8410654227157, 695.3889979277973, 697.1642083038926, 697.4891126015139, 696.5140594953549, 694.3709893992484, 693.5389128248186, 694.6826165540888]"
56,D5,6.587210884353741,6.812154195011338,"[566.6980475843186, 574.9085508261875, 582.613683925957, 585.657104363149, 587.5200193495486, 587.7011605250339, 587.4643092801035, 587.1857338285301, 587.7772231754387, 589.0853393686847, 589.9494359839308, 589.8170843664225, 589.5467407650965, 590.1673117294231, 590.3367957651564, 588.8024960722506, 587.851222400901, 587.7525583751875, 588.2504683262333, 589.1325139133535, 589.6560770613339, 588.1725063892643, 587.2315925964683]"
57,B-4,6.68734693877551,6.840116891827152,"[460.59736686998826, 467.29661506161267, 460.19248643786335, 454.9916580651545, 456.2592719784329, 458.78379390735523, 461.58498553159916, 463.7455917183213, 465.4741158737087, 466.2851917935021, 466.3813342279553, 466.12157651751727, 466.46615932765417, 468.2998152128127, 475.39214816113156, 483.9916311228351]"
58,D5,6.812154195011338,6.941731659800071,"[579.5501676824783, 587.1008982670733, 588.3554434863707, 588.7227410544189, 588.8140298166539, 589.3786263885086, 589.4934768804, 588.4412580284454, 587.4533744113597, 587.0447695991081, 587.5959751947572, 589.0649824014013, 592.0142141207954]"
59,F5,6.928253968253967,7.0810239213056105,"[713.6452017661231, 708.9395079319977, 705.4600222321038, 699.7904004430895, 696.5862428181683, 695.3179709218853, 694.8403378902756, 694.1527311984485, 693.5354110608516, 694.0781807882393, 695.103040341477, 696.3057926641944, 697.0875245938876, 698.0286550226764, 698.8111834019168, 698.030452157583]"
60,G5,7.058866213151928,7.211636166203571,"[786.632580043257, 787.2786121449099, 788.9345960740808, 787.5441759682793, 786.1984008000501, 785.8964764749538, 785.3422200476826, 785.0536758922317, 784.4733150846182, 784.7680075505982, 784.6901318782421, 784.870336342075, 785.3311639305614, 786.071042732808, 785.4003456919054, 783.8525008046463]"
61,E-5,7.1531972789115645,7.305967231963207,"[666.0804019893428, 660.3126835621765, 651.0728029548293, 611.888885440538, 614.1932715813886, 618.4215204190753, 622.3323280715709, 624.7104247224484, 625.3475994839434, 625.6483501525329, 625.4656393461511, 625.3235340188362, 625.6809308764318, 627.7292036356581, 631.1939634284004, 641.964116168345]"
62,C5,7.285260770975058,7.511655328798188,"[528.0643190417202, 527.6042891042092, 523.3014105926775, 520.6679546176589, 520.4904546234101, 521.6071376768458, 522.5868406980546, 522.8390038615307, 523.1698816466064, 522.8679723618538, 521.9230192857383, 520.8692419150279, 519.3835799846577, 518.1970005628979, 519.5561243951882, 520.4711968621585, 520.5427233802145, 521.1100254463148, 521.6124458390638, 518.315534257401, 515.4062141302826, 516.6505761415299, 516.2967548400059]"
63,A4,7.394104308390022,7.616451726230397,"[451.16790522245174, 447.160578234705, 437.0677344765662, 435.2488157620455, 436.51767946113216, 438.0044817305608, 439.54727652476697, 440.35049094278173, 440.69668002340137, 440.803274485082, 440.37282313544483, 440.4928848507038, 441.3993971269459, 441.8510047822808, 442.15345554476704, 440.84282728762304, 441.4029090312957, 442.134376132667, 442.58975212494636, 443.90732914652665, 446.56664819998537, 450.0480762486558, 453.10075892487066]"
64,C5,7.511655328798188,7.734002746638563,"[520.6369128675739, 521.4408990879256, 522.6713325588723, 523.4563893286766, 523.6795932760749, 524.1451798609974, 524.9773451601574, 525.0825991043326, 524.761103780182, 524.4864148137718, 523.9342373879566, 523.2765101748399, 520.5703566498092, 522.692446586523, 524.3905296782829, 525.6486868980857, 525.0795271687246, 525.1673585839108, 525.5969659808184, 526.4832908461013, 527.9316213504551, 529.2281361988775, 530.6405379104569]"
65,E-5,7.611791383219955,7.764561336271597,"[614.5789026390671, 608.3344191917854, 604.3690940145574, 617.0594756370388, 613.5826060427592, 618.0899728602112, 621.7992967098194, 622.3397596718142, 622.8663511678728, 623.3603623081452, 623.0379823085372, 622.7030738738221, 622.8130338088247, 624.1256643019033, 626.102426902717, 649.3936113404898]"
66,D4,7.742403628117914,7.9415585576953776,"[268.5470347896122, 278.9210771413234, 289.2685848451097, 291.4967950304683, 291.19195060347647, 292.3935799943779, 293.49250477271545, 294.38467382328247, 295.1814396170735, 295.626727389616, 295.90825621213367, 295.99083089373653, 295.84014581155066, 295.6498053455835, 295.49943218367645, 295.43069767582824, 295.5630588698198, 295.94427449331147, 296.4434081445842, 297.5766211918927]"
67,G5,7.909297052154195,8.097959183673469,"[773.8786893669702, 779.2883126201289, 782.2115692926593, 783.2743119285265, 783.2340228706585, 783.8120294102525, 783.9005072263387, 783.5694151464334, 783.9599398955237, 784.2887693615893, 785.5974283770059, 776.1692905590957, 746.9210248402793, 746.8831238569264, 742.63130228924, 743.4700430585358, 751.1825631387654, 753.8714945076521, 749.2275518094159]"
