num,note,start,end,pitch
10,B-4,1.2379138321995464,1.3906837852511895,"[463.5069748821577, 462.9377642812707, 461.9322330601818, 465.29236453189935, 466.8536099590739, 466.08358830816246, 465.5999968030836, 466.4040617981454, 466.4282278043799, 466.16369110093956, 465.4738375235165, 464.91257118407526, 464.3790252877369, 463.815837682402, 462.95781782506117, 463.4054908492723]"
11,G4,1.3351473922902493,1.5731519274376418,"[392.5489309624401, 393.64608588255834, 393.02500160806, 391.84898362273947, 390.3262664565581, 387.50996820304175, 386.5430754255914, 386.834222777372, 388.5112220036648, 389.50243046799176, 390.41035353181377, 390.8762301235862, 390.8048316139525, 390.29915096510985, 389.5262940091204, 388.6735712422638, 391.5412715316674, 393.0212833386352, 392.03603130784563, 390.58208177547306, 390.58342461479987, 391.5170401245303, 391.9894845934722, 392.12676460683616]"
12,D4,1.4570521541950114,1.6805442176870748,"[298.3359624321917, 292.67720666338084, 296.5983376009212, 297.5990458973984, 294.3183297603559, 293.3685068862243, 294.02285037743206, 294.1790917404091, 294.05441911957405, 294.0504523335847, 294.3414989442002, 294.6607759644245, 295.28403203874325, 295.57515396432325, 295.0413365637951, 295.1439405353501, 295.6887048258374, 295.5773754057328, 294.7130037377392, 294.33049724951815, 293.9243003133758, 293.2619986343391, 292.56209114489303]"
13,G4,1.5731519274376418,1.725921880489285,"[389.724663424362, 391.45910429845674, 392.6207079783377, 392.3639119247822, 390.0600478199061, 389.19810234804396, 389.2589104031345, 390.415886799139, 391.194328085671, 392.12262003935734, 392.2506676764132, 392.0118628831725, 391.080649598749, 390.19059782651135, 389.25970862421843, 388.81588252537193]"
14,D4,1.6805442176870748,1.8924263038548752,"[297.24312174745285, 294.0985270208154, 294.32035528831943, 295.43761723547345, 294.93562168685474, 293.3013839622618, 292.94659553828416, 293.2423776422549, 293.13824656341063, 293.05662422792005, 293.21490050888735, 293.1521874386574, 292.8543346994975, 293.2011527325303, 294.9801841438745, 297.06003805995584, 297.6282275864172, 297.0423711590771, 296.41409872211136, 296.151154888821, 295.5664560621018, 296.11710691225716]"
15,B-3,1.808253968253968,2.044807256235828,"[233.96682810923193, 235.72136968157253, 233.77466173958683, 230.80194987749948, 230.97999533385703, 231.9264574148157, 232.45501882302568, 232.9737688592092, 233.31508601960888, 233.65033356226894, 233.4288520969343, 232.90516961101292, 232.44375985690908, 232.87709660176876, 234.00407121670145, 233.6643007439611, 233.92846722784097, 235.2818744326839, 237.2243135744879, 238.37522121593008, 240.99388815172577, 239.64885600223283, 237.73742098030257, 236.80888526382972]"
16,D4,1.8924263038548752,2.0451962569065185,"[299.4245534266378, 296.6043418421981, 295.6054317946672, 295.5592818270775, 292.4627933116525, 289.4814520886545, 291.1582177153995, 292.9214466214639, 293.91114989872966, 294.5534713551982, 295.02786954503074, 295.2439370145168, 294.87866285730496, 293.95123944113215, 291.1824361973843, 287.83522166511824]"
17,B-3,2.044807256235828,2.265396825396825,"[237.19856746056197, 235.24960576301146, 232.68487131622095, 232.6863604749695, 233.71817682550247, 234.51807201870275, 234.82568254847894, 234.3531097504517, 233.09764312285256, 232.20897635666998, 231.2349728262865, 230.5627680238578, 230.04201015875645, 228.94963046704083, 229.61935694783568, 232.80046011093674, 236.68974598119817, 239.69743671962758, 242.38389585916258, 243.3635068732762, 241.41246109304743, 235.3619736926311, 227.5481210187044]"
18,G3,2.113015873015873,2.2657858260675163,"[192.37155776960694, 192.99313082354357, 193.8321440096503, 193.23772895346124, 193.94529111621765, 196.3300006633079, 195.94327776947804, 195.85410856697595, 195.80795014378114, 195.85206398415232, 195.99228771751382, 196.09427681718478, 196.1829705513767, 196.14972844192272, 195.83825133604495, 195.2165394733817]"
19,B-3,2.265396825396825,2.3949742901855577,"[236.67513511819348, 233.94431189719012, 232.4885339458079, 232.5375496344401, 232.75761645361223, 232.7871220759988, 232.48016452507267, 232.2051306732047, 232.38635593629687, 232.52901817886521, 232.7536315760184, 232.55161508191523, 231.659607590164]"
20,D4,2.340861678004535,2.493631631056178,"[301.7719982473988, 296.8904803401956, 299.65574362843563, 300.47491156764994, 300.06818205134186, 294.56895612374365, 292.53596127783464, 292.83893558821484, 293.59568654777934, 294.2045041621676, 294.4391224877447, 294.22589454646743, 294.1378380526606, 293.51800622453504, 292.08541680673585, 289.9692322586933]"
21,G4,2.4598639455782307,2.6822113634186064,"[393.81768195269456, 394.32715017926455, 394.48160464697986, 393.01974781565855, 391.24887318654345, 390.9045105738631, 391.4463721966252, 391.81741692460747, 391.9279431976677, 392.0136892667906, 391.759434833582, 391.7263697366715, 391.241931939992, 391.03770831936777, 391.3654090585277, 392.4031664919436, 393.4331512522754, 392.7715812910938, 392.02502626312, 392.2021442616525, 392.42374577495787, 391.9710708956038, 391.7142431116571]"
